"","x"
"1",1
"2",4
"3",10
"4",8
"5",3
"6",10
"7",10
"8",4
"9",5
"10",10
"11",4
"12",4
"13",8
"14",5
"15",6
"16",4
"17",8
"18",7
"19",10
"20",10
"21",2
"22",8
"23",4
"24",5
"25",10
"26",5
"27",10
"28",10
"29",10
"30",10
"31",10
"32",8
"33",8
"34",4
"35",10
"36",10
"37",6
"38",1
"39",4
"40",4
"41",3
"42",6
"43",10
"44",4
"45",3
"46",5
"47",5
"48",3
"49",6
"50",10
"51",5
"52",5
"53",5
"54",10
"55",3
"56",10
"57",10
"58",1
"59",10
"60",10
"61",3
"62",6
"63",5
"64",4
"65",10
"66",2
"67",10
"68",10
"69",5
"70",4
"71",4
"72",4
"73",10
"74",4
"75",10
"76",10
"77",4
"78",4
"79",10
"80",5
"81",1
"82",6
"83",10
"84",5
"85",10
"86",4
"87",3
"88",10
"89",4
"90",10
"91",10
"92",5
"93",10
"94",4
"95",1
"96",10
"97",6
"98",10
"99",10
"100",1
"101",10
"102",5
"103",2
"104",1
"105",10
"106",4
"107",3
"108",1
"109",1
"110",10
"111",10
"112",10
"113",4
"114",10
"115",10
"116",10
"117",1
"118",10
"119",3
"120",10
"121",6
"122",8
"123",8
"124",5
"125",6
"126",10
"127",7
"128",7
"129",10
"130",4
"131",5
"132",5
"133",8
"134",10
"135",2
"136",4
"137",1
"138",10
"139",10
"140",6
"141",1
"142",5
"143",3
"144",10
"145",7
"146",10
"147",4
"148",10
"149",5
"150",8
"151",3
"152",3
"153",1
"154",4
"155",3
"156",3
"157",4
"158",10
"159",4
"160",10
"161",4
"162",5
"163",5
"164",1
"165",10
"166",5
"167",10
"168",5
"169",10
"170",6
"171",4
"172",8
"173",4
"174",5
"175",1
"176",10
"177",10
"178",7
"179",8
"180",1
"181",4
"182",2
"183",8
"184",5
"185",3
"186",10
"187",10
"188",10
"189",4
"190",10
"191",7
"192",10
"193",5
"194",10
"195",4
"196",4
"197",10
"198",10
"199",5
"200",3
"201",5
"202",10
"203",10
"204",4
"205",3
"206",1
"207",5
"208",6
"209",4
"210",10
"211",10
"212",10
"213",10
"214",6
"215",3
"216",4
"217",8
"218",4
"219",5
"220",5
"221",10
"222",5
"223",10
"224",10
"225",3
"226",3
"227",10
"228",10
"229",10
"230",1
"231",10
"232",4
"233",10
"234",10
"235",10
"236",1
"237",5
"238",5
"239",3
"240",10
"241",10
"242",1
"243",4
"244",3
"245",10
"246",10
"247",5
"248",1
"249",3
"250",10
"251",4
"252",10
"253",1
"254",1
"255",10
"256",5
"257",10
"258",4
"259",6
"260",10
"261",4
"262",6
"263",8
"264",10
"265",10
"266",7
"267",10
"268",10
"269",10
"270",10
"271",4
"272",5
"273",10
"274",5
"275",4
"276",10
"277",1
"278",4
"279",10
"280",4
"281",1
"282",1
"283",1
"284",1
"285",4
"286",10
"287",3
"288",10
"289",10
"290",4
"291",1
"292",10
"293",10
"294",4
"295",10
"296",7
"297",10
"298",4
"299",5
"300",3
"301",8
"302",5
"303",10
"304",10
"305",8
"306",5
"307",5
"308",3
"309",4
"310",5
"311",1
"312",3
"313",10
"314",1
"315",4
"316",1
"317",10
"318",10
"319",4
"320",10
"321",10
"322",10
"323",10
"324",10
"325",10
"326",10
"327",10
"328",4
"329",10
"330",4
"331",6
"332",10
"333",4
"334",10
"335",10
"336",6
"337",10
"338",4
"339",5
"340",1
"341",5
"342",1
"343",5
"344",10
"345",10
"346",10
"347",10
"348",6
"349",10
"350",10
"351",8
"352",1
"353",10
"354",10
"355",1
"356",10
"357",8
"358",4
"359",10
"360",8
"361",1
"362",5
"363",6
"364",6
"365",10
"366",6
"367",10
"368",4
"369",10
"370",3
"371",1
"372",1
"373",10
"374",5
"375",10
"376",4
"377",5
"378",1
"379",8
"380",1
"381",5
"382",1
"383",10
"384",10
"385",10
"386",10
"387",4
"388",1
"389",10
"390",10
"391",8
"392",10
"393",10
"394",10
"395",8
"396",10
"397",10
"398",5
"399",6
"400",10
"401",10
"402",1
"403",10
"404",4
"405",1
"406",7
"407",10
"408",10
"409",5
"410",10
"411",3
"412",10
"413",10
"414",8
"415",10
"416",6
"417",10
"418",5
"419",8
"420",3
"421",1
"422",10
"423",4
"424",4
"425",1
"426",5
"427",1
"428",1
"429",8
"430",10
"431",10
"432",2
"433",10
"434",1
"435",10
"436",10
"437",4
"438",10
"439",3
"440",1
"441",4
"442",10
"443",10
"444",10
"445",4
"446",10
"447",3
"448",8
"449",8
"450",8
"451",10
"452",1
"453",5
"454",10
"455",4
"456",3
"457",3
"458",5
"459",10
"460",10
"461",10
"462",10
"463",10
"464",10
"465",4
"466",4
"467",1
"468",3
"469",10
"470",10
"471",8
"472",5
"473",4
"474",3
"475",5
"476",4
"477",6
"478",10
"479",10
"480",10
"481",10
"482",1
"483",10
"484",10
"485",5
"486",8
"487",5
"488",10
"489",10
"490",10
"491",5
"492",3
"493",10
"494",3
"495",3
"496",6
"497",5
"498",3
"499",3
"500",4
"501",1
"502",1
"503",1
"504",10
"505",10
"506",6
"507",10
"508",4
"509",1
"510",1
"511",4
"512",1
"513",10
"514",10
"515",8
"516",1
"517",10
"518",10
"519",1
"520",10
"521",10
"522",10
"523",3
"524",10
"525",4
"526",1
"527",4
"528",1
"529",10
"530",4
"531",10
"532",10
"533",10
"534",3
"535",3
"536",7
"537",10
"538",5
"539",4
"540",10
"541",10
"542",10
"543",5
"544",10
"545",10
"546",10
"547",5
"548",1
"549",3
"550",1
"551",5
"552",5
"553",10
"554",5
"555",8
"556",4
"557",10
"558",10
"559",1
"560",3
"561",3
"562",1
"563",10
"564",8
"565",10
"566",1
"567",6
"568",10
"569",1
"570",10
"571",5
"572",4
"573",10
"574",10
"575",5
"576",10
"577",10
"578",10
"579",5
"580",10
"581",8
"582",3
"583",4
"584",3
"585",5
"586",10
"587",5
"588",4
"589",1
"590",3
"591",10
"592",5
"593",10
"594",10
"595",10
"596",8
"597",3
"598",5
"599",8
"600",7
"601",10
"602",5
"603",5
"604",5
"605",3
"606",8
"607",5
"608",10
"609",8
"610",2
"611",10
"612",4
"613",5
"614",4
"615",10
"616",3
"617",10
"618",6
"619",1
"620",8
"621",8
"622",3
"623",10
"624",3
"625",10
"626",7
"627",10
"628",3
"629",1
"630",10
"631",8
"632",8
"633",6
"634",10
"635",10
"636",1
"637",10
"638",8
"639",5
"640",6
"641",3
"642",10
"643",4
"644",10
"645",10
"646",1
"647",8
"648",8
"649",10
"650",5
"651",1
"652",1
"653",10
"654",4
"655",2
"656",1
"657",10
"658",5
"659",10
"660",4
"661",4
"662",1
"663",5
"664",5
"665",8
"666",3
"667",5
"668",5
"669",5
"670",10
"671",10
"672",4
"673",4
"674",6
"675",4
"676",10
"677",10
"678",6
"679",3
"680",10
"681",5
"682",4
"683",5
"684",4
"685",6
"686",1
"687",5
"688",1
"689",4
"690",10
"691",5
"692",6
"693",8
"694",10
"695",5
"696",1
"697",5
"698",5
"699",10
"700",10
"701",5
"702",4
"703",1
"704",5
"705",10
"706",10
"707",10
"708",10
"709",4
"710",5
"711",3
"712",4
"713",1
"714",4
"715",10
"716",10
"717",1
"718",10
"719",10
"720",1
"721",10
"722",5
"723",2
"724",2
"725",10
"726",8
"727",10
"728",5
"729",10
"730",3
"731",10
"732",5
"733",4
"734",10
"735",10
"736",3
"737",3
"738",10
"739",6
"740",1
"741",10
"742",10
"743",10
"744",10
"745",4
"746",5
"747",10
"748",5
"749",3
"750",5
"751",1
"752",1
"753",10
"754",6
"755",10
"756",10
"757",10
"758",10
"759",3
"760",3
"761",1
"762",5
"763",10
"764",3
"765",8
"766",2
"767",10
"768",10
"769",10
"770",7
"771",5
"772",1
"773",1
"774",4
"775",5
"776",1
"777",10
"778",10
"779",10
"780",10
"781",2
"782",10
"783",1
"784",10
"785",1
"786",10
"787",8
"788",10
"789",1
"790",10
"791",10
"792",10
"793",3
"794",8
"795",6
"796",10
"797",5
"798",6
"799",10
"800",1
"801",5
"802",10
"803",4
"804",1
"805",1
"806",10
"807",5
"808",3
"809",1
"810",10
"811",5
"812",3
"813",1
"814",4
"815",6
"816",6
"817",5
"818",5
"819",5
"820",10
"821",10
"822",10
"823",9
"824",5
"825",10
"826",4
"827",10
"828",10
"829",3
"830",4
"831",10
"832",10
"833",4
"834",10
"835",1
"836",10
"837",6
"838",4
"839",5
"840",6
"841",10
"842",7
"843",10
"844",5
"845",10
"846",1
"847",4
"848",10
"849",4
"850",5
"851",10
"852",4
"853",1
"854",10
"855",3
"856",5
"857",4
"858",3
"859",4
"860",10
"861",8
"862",10
"863",5
"864",10
"865",3
"866",10
"867",5
"868",10
"869",10
"870",3
"871",7
"872",1
"873",4
"874",10
"875",3
"876",10
"877",4
"878",10
"879",10
"880",8
"881",5
"882",10
"883",5
"884",1
"885",10
"886",5
"887",4
"888",4
"889",1
"890",3
"891",5
"892",5
"893",3
"894",3
"895",8
"896",3
"897",8
"898",4
"899",5
"900",5
"901",5
"902",5
"903",10
"904",8
"905",10
"906",3
"907",10
"908",6
"909",5
"910",5
"911",10
"912",3
"913",5
"914",10
"915",1
"916",8
"917",10
"918",10
"919",5
"920",10
"921",10
"922",10
"923",5
"924",1
"925",1
"926",5
"927",3
"928",5
"929",4
"930",10
"931",4
"932",4
"933",3
"934",10
"935",2
"936",3
"937",5
"938",8
"939",1
"940",10
"941",6
"942",3
"943",4
"944",3
"945",1
"946",6
"947",8
"948",8
"949",3
"950",4
"951",6
"952",10
"953",10
"954",1
"955",4
"956",3
"957",1
"958",10
"959",10
"960",3
"961",4
"962",10
"963",1
"964",10
"965",3
"966",5
"967",10
"968",1
"969",8
"970",5
"971",3
"972",4
"973",5
"974",10
"975",5
"976",5
"977",1
"978",3
"979",10
"980",5
"981",4
"982",5
"983",10
"984",10
"985",3
"986",4
"987",10
"988",5
"989",1
"990",5
"991",4
"992",1
"993",4
"994",8
"995",10
"996",5
"997",8
"998",5
"999",10
"1000",10
"1001",6
"1002",10
"1003",4
"1004",1
"1005",8
"1006",4
"1007",5
"1008",5
"1009",1
"1010",2
"1011",6
"1012",1
"1013",3
"1014",3
"1015",5
"1016",10
"1017",5
"1018",3
"1019",5
"1020",4
"1021",10
"1022",4
"1023",10
"1024",1
"1025",8
"1026",4
"1027",8
"1028",10
"1029",3
"1030",6
"1031",1
"1032",3
"1033",5
"1034",1
"1035",10
"1036",10
"1037",4
"1038",3
"1039",1
"1040",6
"1041",6
"1042",4
"1043",5
"1044",1
"1045",8
"1046",10
"1047",10
"1048",5
"1049",6
"1050",5
"1051",1
"1052",4
"1053",3
"1054",1
"1055",4
"1056",5
"1057",10
"1058",10
"1059",10
"1060",10
"1061",10
"1062",10
"1063",10
"1064",10
"1065",10
"1066",6
"1067",10
"1068",10
"1069",2
"1070",5
"1071",10
"1072",3
"1073",1
"1074",10
"1075",10
"1076",5
"1077",10
"1078",4
"1079",1
"1080",10
"1081",4
"1082",4
"1083",10
"1084",8
"1085",4
"1086",3
"1087",10
"1088",5
"1089",10
"1090",10
"1091",10
"1092",3
"1093",8
"1094",4
"1095",4
"1096",4
"1097",5
"1098",8
"1099",10
"1100",6
"1101",5
"1102",10
"1103",7
"1104",10
"1105",2
"1106",1
"1107",10
"1108",4
"1109",5
"1110",1
"1111",10
"1112",4
"1113",6
"1114",5
"1115",6
"1116",4
"1117",10
"1118",4
"1119",10
"1120",5
"1121",5
"1122",5
"1123",7
"1124",4
"1125",1
"1126",10
"1127",4
"1128",10
"1129",10
"1130",1
"1131",5
"1132",10
"1133",2
"1134",10
"1135",10
"1136",4
"1137",10
"1138",1
"1139",4
"1140",3
"1141",5
"1142",10
"1143",4
"1144",5
"1145",1
"1146",6
"1147",10
"1148",5
"1149",10
"1150",10
"1151",6
"1152",1
"1153",10
"1154",4
"1155",10
"1156",10
"1157",1
"1158",3
"1159",3
"1160",8
"1161",10
"1162",1
"1163",5
"1164",5
"1165",10
"1166",5
"1167",5
"1168",6
"1169",4
"1170",1
"1171",10
"1172",5
"1173",4
"1174",3
"1175",10
"1176",3
"1177",10
"1178",3
"1179",8
"1180",10
"1181",10
"1182",10
"1183",10
"1184",1
"1185",3
"1186",5
"1187",10
"1188",4
"1189",8
"1190",5
"1191",4
"1192",10
"1193",10
"1194",6
"1195",1
"1196",1
"1197",5
"1198",10
"1199",10
"1200",3
"1201",10
"1202",8
"1203",4
"1204",10
"1205",2
"1206",3
"1207",5
"1208",4
"1209",10
"1210",1
"1211",2
"1212",10
"1213",5
"1214",1
"1215",6
"1216",3
"1217",3
"1218",10
"1219",4
"1220",4
"1221",3
"1222",5
"1223",5
"1224",2
"1225",1
"1226",10
"1227",7
"1228",4
"1229",5
"1230",1
"1231",1
"1232",3
"1233",10
"1234",3
"1235",7
"1236",5
"1237",4
"1238",4
"1239",10
"1240",8
"1241",10
"1242",5
"1243",5
"1244",10
"1245",6
"1246",1
"1247",10
"1248",1
"1249",10
"1250",4
"1251",1
"1252",4
"1253",10
"1254",4
"1255",10
"1256",10
"1257",10
"1258",4
"1259",8
"1260",10
"1261",5
"1262",4
"1263",4
"1264",10
"1265",4
"1266",3
"1267",6
"1268",5
"1269",4
"1270",5
"1271",1
"1272",5
"1273",10
"1274",8
"1275",3
"1276",10
"1277",6
"1278",10
"1279",1
"1280",4
"1281",3
"1282",10
"1283",8
"1284",5
"1285",5
"1286",10
"1287",1
"1288",4
"1289",1
"1290",10
"1291",3
"1292",1
"1293",10
"1294",5
"1295",4
"1296",3
"1297",3
"1298",10
"1299",10
"1300",10
"1301",10
"1302",5
"1303",3
"1304",1
"1305",4
"1306",1
"1307",1
"1308",8
"1309",6
"1310",10
"1311",4
"1312",10
"1313",4
"1314",10
"1315",10
"1316",10
"1317",10
"1318",1
"1319",10
"1320",5
"1321",10
"1322",3
"1323",10
"1324",1
"1325",6
"1326",10
"1327",5
"1328",10
"1329",4
"1330",1
"1331",8
"1332",10
"1333",5
"1334",10
"1335",5
"1336",3
"1337",10
"1338",3
"1339",6
"1340",10
"1341",10
"1342",4
"1343",3
"1344",3
"1345",8
"1346",1
"1347",5
"1348",4
"1349",10
"1350",3
"1351",5
"1352",10
"1353",3
"1354",10
"1355",10
"1356",10
"1357",10
"1358",10
"1359",4
"1360",5
"1361",4
"1362",10
"1363",5
"1364",8
"1365",3
"1366",3
"1367",10
"1368",4
"1369",2
"1370",10
"1371",10
"1372",3
"1373",10
"1374",10
"1375",1
"1376",10
"1377",10
"1378",10
"1379",10
"1380",3
"1381",1
"1382",4
"1383",3
"1384",4
"1385",5
"1386",10
"1387",10
"1388",4
"1389",4
"1390",10
"1391",3
"1392",5
"1393",10
"1394",10
"1395",6
"1396",10
"1397",4
"1398",1
"1399",8
"1400",3
"1401",1
"1402",10
"1403",3
"1404",1
"1405",8
"1406",10
"1407",4
"1408",1
"1409",10
"1410",4
"1411",4
"1412",4
"1413",1
"1414",3
"1415",10
"1416",4
"1417",5
"1418",3
"1419",1
"1420",4
"1421",10
"1422",10
"1423",1
"1424",3
"1425",7
"1426",10
"1427",10
"1428",1
"1429",1
"1430",6
"1431",3
"1432",10
"1433",10
"1434",5
"1435",5
"1436",5
"1437",10
"1438",10
"1439",8
"1440",5
"1441",1
"1442",6
"1443",4
"1444",10
"1445",10
"1446",8
"1447",10
"1448",10
"1449",10
"1450",1
"1451",10
"1452",3
"1453",10
"1454",10
"1455",1
"1456",1
"1457",8
"1458",4
"1459",3
"1460",10
"1461",10
"1462",10
"1463",8
"1464",8
"1465",2
"1466",10
"1467",4
"1468",10
"1469",2
"1470",1
"1471",5
"1472",10
"1473",5
"1474",10
"1475",10
"1476",5
"1477",4
"1478",3
"1479",4
"1480",3
"1481",6
"1482",1
"1483",10
"1484",10
"1485",4
"1486",3
"1487",5
"1488",4
"1489",10
"1490",4
"1491",10
"1492",6
"1493",5
"1494",1
"1495",4
"1496",4
"1497",10
"1498",3
"1499",3
"1500",10
"1501",4
"1502",10
"1503",10
"1504",3
"1505",5
"1506",10
"1507",4
"1508",6
"1509",8
"1510",10
"1511",5
"1512",1
"1513",10
"1514",5
"1515",10
"1516",7
"1517",4
"1518",6
"1519",8
"1520",10
"1521",10
"1522",4
"1523",2
"1524",1
"1525",4
"1526",4
"1527",6
"1528",10
"1529",10
"1530",1
"1531",4
"1532",5
"1533",10
"1534",5
"1535",6
"1536",1
"1537",4
"1538",8
"1539",3
"1540",3
"1541",10
"1542",1
"1543",6
"1544",5
"1545",5
"1546",5
"1547",4
"1548",10
"1549",5
"1550",3
"1551",4
"1552",5
"1553",7
"1554",3
"1555",4
"1556",1
"1557",6
"1558",2
"1559",4
"1560",10
"1561",10
"1562",5
"1563",10
"1564",5
"1565",10
"1566",8
"1567",10
"1568",5
"1569",1
"1570",3
"1571",1
"1572",10
"1573",8
"1574",4
"1575",7
"1576",4
"1577",5
"1578",4
"1579",10
"1580",10
"1581",3
"1582",1
"1583",10
"1584",10
"1585",10
"1586",10
"1587",10
"1588",10
"1589",10
"1590",10
"1591",10
"1592",10
"1593",10
"1594",10
"1595",10
"1596",10
"1597",1
"1598",10
"1599",5
"1600",8
"1601",3
"1602",7
"1603",10
"1604",10
"1605",4
"1606",5
"1607",10
"1608",1
"1609",1
"1610",1
"1611",3
"1612",1
"1613",6
"1614",1
"1615",10
"1616",8
"1617",4
"1618",6
"1619",7
"1620",1
"1621",1
"1622",10
"1623",4
"1624",10
"1625",4
"1626",4
"1627",8
"1628",8
"1629",5
"1630",10
"1631",8
"1632",5
"1633",8
"1634",4
"1635",8
"1636",10
"1637",4
"1638",1
"1639",8
"1640",10
"1641",5
"1642",10
"1643",8
"1644",5
"1645",1
"1646",1
"1647",10
"1648",5
"1649",10
"1650",6
"1651",4
"1652",4
"1653",5
"1654",4
"1655",4
"1656",6
"1657",1
"1658",10
"1659",4
"1660",10
"1661",4
"1662",10
"1663",1
"1664",10
"1665",3
"1666",10
"1667",10
"1668",4
"1669",8
"1670",3
"1671",10
"1672",8
"1673",3
"1674",6
"1675",5
"1676",4
"1677",10
"1678",1
"1679",10
"1680",5
"1681",8
"1682",5
"1683",1
"1684",7
"1685",3
"1686",10
"1687",6
"1688",5
"1689",4
"1690",4
"1691",5
"1692",10
"1693",8
"1694",4
"1695",5
"1696",5
"1697",10
"1698",8
"1699",10
"1700",4
"1701",1
"1702",3
"1703",5
"1704",8
"1705",4
"1706",10
"1707",10
"1708",5
"1709",10
"1710",10
"1711",3
"1712",10
"1713",3
"1714",8
"1715",3
"1716",10
"1717",10
"1718",1
"1719",4
"1720",5
"1721",6
"1722",8
"1723",5
"1724",1
"1725",10
"1726",10
"1727",10
"1728",3
"1729",10
"1730",4
"1731",10
"1732",1
"1733",1
"1734",8
"1735",8
"1736",10
"1737",1
"1738",6
"1739",5
"1740",5
"1741",8
"1742",10
"1743",10
"1744",10
"1745",4
"1746",10
"1747",5
"1748",8
"1749",3
"1750",10
"1751",10
"1752",10
"1753",10
"1754",4
"1755",1
"1756",3
"1757",10
"1758",1
"1759",5
"1760",5
"1761",10
"1762",2
"1763",3
"1764",10
"1765",1
"1766",4
"1767",5
"1768",1
"1769",10
"1770",8
"1771",6
"1772",10
"1773",4
"1774",10
"1775",4
"1776",4
"1777",5
"1778",5
"1779",1
"1780",4
"1781",10
"1782",4
"1783",8
"1784",8
"1785",5
"1786",4
"1787",7
"1788",3
"1789",1
"1790",8
"1791",3
"1792",6
"1793",5
"1794",5
"1795",10
"1796",5
"1797",1
"1798",8
"1799",10
"1800",8
"1801",8
"1802",5
"1803",8
"1804",5
"1805",10
"1806",6
"1807",5
"1808",3
"1809",10
"1810",5
"1811",3
"1812",10
"1813",5
"1814",10
"1815",10
"1816",10
"1817",3
"1818",2
"1819",3
"1820",10
"1821",6
"1822",4
"1823",3
"1824",1
"1825",10
"1826",5
"1827",10
"1828",10
"1829",1
"1830",10
"1831",10
"1832",8
"1833",5
"1834",3
"1835",4
"1836",6
"1837",5
"1838",2
"1839",10
"1840",10
"1841",5
"1842",10
"1843",8
"1844",10
"1845",10
"1846",5
"1847",10
"1848",10
"1849",4
"1850",10
"1851",5
"1852",10
"1853",4
"1854",10
"1855",5
"1856",10
"1857",1
"1858",3
"1859",5
"1860",1
"1861",5
"1862",4
"1863",10
"1864",10
"1865",8
"1866",5
"1867",4
"1868",4
"1869",3
"1870",1
"1871",3
"1872",10
"1873",8
"1874",4
"1875",5
"1876",4
"1877",10
"1878",5
"1879",4
"1880",10
"1881",5
"1882",6
"1883",5
"1884",6
"1885",10
"1886",10
"1887",4
"1888",1
"1889",10
"1890",10
"1891",4
"1892",3
"1893",5
"1894",10
"1895",10
"1896",4
"1897",4
"1898",4
"1899",1
"1900",1
"1901",10
"1902",5
"1903",3
"1904",1
"1905",1
"1906",1
"1907",10
"1908",5
"1909",5
"1910",10
"1911",10
"1912",10
"1913",10
"1914",3
"1915",1
"1916",10
"1917",5
"1918",4
"1919",3
"1920",10
"1921",4
"1922",3
"1923",3
"1924",1
"1925",4
"1926",5
"1927",4
"1928",10
"1929",3
"1930",4
"1931",10
"1932",4
"1933",10
"1934",10
"1935",1
"1936",10
"1937",10
"1938",8
"1939",5
"1940",1
"1941",3
"1942",3
"1943",3
"1944",2
"1945",3
"1946",10
"1947",4
"1948",6
"1949",7
"1950",10
"1951",1
"1952",10
"1953",1
"1954",8
"1955",10
"1956",5
"1957",10
"1958",5
"1959",2
"1960",1
"1961",4
"1962",10
"1963",10
"1964",10
"1965",5
"1966",1
"1967",10
"1968",4
"1969",10
"1970",4
"1971",5
"1972",10
"1973",10
"1974",1
"1975",10
"1976",5
"1977",5
"1978",10
"1979",10
"1980",2
"1981",2
"1982",1
"1983",6
"1984",3
"1985",3
"1986",10
"1987",10
"1988",4
"1989",8
"1990",5
"1991",4
"1992",10
"1993",5
"1994",3
"1995",5
"1996",4
"1997",10
"1998",10
"1999",3
"2000",1
"2001",10
"2002",4
"2003",4
"2004",5
"2005",4
"2006",10
"2007",3
"2008",4
"2009",1
"2010",4
"2011",6
"2012",10
"2013",1
"2014",8
"2015",1
"2016",3
"2017",1
"2018",5
"2019",5
"2020",6
"2021",8
"2022",4
"2023",10
"2024",6
"2025",5
"2026",1
"2027",10
"2028",5
"2029",3
"2030",3
"2031",1
"2032",10
"2033",6
"2034",3
"2035",5
"2036",3
"2037",6
"2038",5
"2039",3
"2040",10
"2041",1
"2042",8
"2043",5
"2044",1
"2045",3
"2046",1
"2047",5
"2048",3
"2049",5
"2050",10
"2051",3
"2052",10
"2053",10
"2054",5
"2055",10
"2056",5
"2057",1
"2058",4
"2059",5
"2060",1
"2061",10
"2062",5
"2063",10
"2064",5
"2065",8
"2066",10
"2067",1
"2068",5
"2069",3
"2070",5
"2071",4
"2072",10
"2073",1
"2074",10
"2075",8
"2076",4
"2077",4
"2078",5
"2079",10
"2080",1
"2081",1
"2082",7
"2083",10
"2084",10
"2085",3
"2086",8
"2087",10
"2088",5
"2089",10
"2090",10
"2091",5
"2092",1
"2093",6
"2094",1
"2095",8
"2096",10
"2097",10
"2098",1
"2099",1
"2100",3
"2101",5
"2102",8
"2103",10
"2104",5
"2105",5
"2106",10
"2107",5
"2108",10
"2109",4
"2110",1
"2111",3
"2112",2
"2113",1
"2114",10
"2115",3
"2116",8
"2117",6
"2118",4
"2119",4
"2120",5
"2121",4
"2122",3
"2123",2
"2124",3
"2125",4
"2126",10
"2127",5
"2128",8
"2129",10
"2130",10
"2131",10
"2132",5
"2133",10
"2134",10
"2135",1
"2136",10
"2137",4
"2138",10
"2139",4
"2140",4
"2141",10
"2142",8
"2143",10
"2144",4
"2145",5
"2146",10
"2147",1
"2148",10
"2149",1
"2150",5
"2151",10
"2152",3
"2153",3
"2154",1
"2155",5
"2156",5
"2157",6
"2158",6
"2159",8
"2160",5
"2161",10
