"","x"
"1",8
"2",4
"3",7
"4",4
"5",4
"6",4
"7",4
"8",3
"9",7
"10",4
"11",4
"12",4
"13",8
"14",8
"15",8
"16",7
"17",8
"18",7
"19",4
"20",6
"21",6
"22",6
"23",9
"24",6
"25",9
"26",8
"27",9
"28",4
"29",8
"30",9
"31",9
"32",7
"33",4
"34",8
"35",1
"36",7
"37",8
"38",8
"39",7
"40",4
"41",6
"42",8
"43",9
"44",1
"45",6
"46",4
"47",8
"48",4
"49",7
"50",8
"51",4
"52",5
"53",2
"54",6
"55",7
"56",8
"57",4
"58",7
"59",7
"60",4
"61",1
"62",4
"63",7
"64",8
"65",6
"66",6
"67",7
"68",4
"69",4
"70",9
"71",4
"72",6
"73",5
"74",5
"75",8
"76",8
"77",8
"78",1
"79",4
"80",4
"81",9
"82",6
"83",6
"84",5
"85",7
"86",6
"87",4
"88",5
"89",8
"90",5
"91",6
"92",4
"93",8
"94",4
"95",4
"96",9
"97",4
"98",8
"99",4
"100",6
"101",8
"102",6
"103",9
"104",4
"105",9
"106",3
"107",7
"108",7
"109",5
"110",4
"111",4
"112",8
"113",5
"114",6
"115",5
"116",4
"117",9
"118",1
"119",4
"120",9
"121",4
"122",6
"123",9
"124",4
"125",4
"126",1
"127",6
"128",6
"129",6
"130",8
"131",4
"132",4
"133",1
"134",7
"135",9
"136",4
"137",6
"138",5
"139",4
"140",6
"141",7
"142",4
"143",4
"144",5
"145",5
"146",9
"147",4
"148",7
"149",7
"150",8
"151",4
"152",8
"153",9
"154",8
"155",6
"156",8
"157",6
"158",9
"159",5
"160",6
"161",7
"162",6
"163",7
"164",9
"165",6
"166",4
"167",9
"168",7
"169",6
"170",7
"171",9
"172",7
"173",1
"174",4
"175",6
"176",6
"177",9
"178",8
"179",7
"180",9
"181",8
"182",8
"183",7
"184",6
"185",8
"186",9
"187",9
"188",8
"189",8
"190",6
"191",4
"192",5
"193",4
"194",4
"195",4
"196",4
"197",1
"198",4
"199",7
"200",4
"201",4
"202",7
"203",5
"204",9
"205",6
"206",4
"207",4
"208",9
"209",4
"210",7
"211",7
"212",9
"213",8
"214",4
"215",4
"216",7
"217",9
"218",4
"219",1
"220",4
"221",4
"222",8
"223",7
"224",4
"225",7
"226",5
"227",8
"228",4
"229",4
"230",7
"231",8
"232",9
"233",6
"234",9
"235",7
"236",4
"237",8
"238",4
"239",8
"240",4
"241",4
"242",8
"243",8
"244",4
"245",8
"246",8
"247",1
"248",6
"249",6
"250",7
"251",6
"252",5
"253",4
"254",7
"255",7
"256",4
"257",8
"258",4
"259",6
"260",6
"261",8
"262",4
"263",8
"264",8
"265",4
"266",7
"267",9
"268",4
"269",8
"270",5
"271",6
"272",4
"273",4
"274",6
"275",4
"276",4
"277",2
"278",5
"279",5
"280",4
"281",8
"282",6
"283",5
"284",6
"285",4
"286",8
"287",4
"288",4
"289",8
"290",6
"291",8
"292",6
"293",6
"294",4
"295",4
"296",8
"297",4
"298",4
"299",1
"300",8
"301",4
"302",4
"303",7
"304",7
"305",6
"306",9
"307",4
"308",6
"309",7
"310",4
"311",4
"312",8
"313",4
"314",4
"315",8
"316",8
"317",6
"318",8
"319",5
"320",4
"321",4
"322",7
"323",4
"324",6
"325",8
"326",7
"327",7
"328",7
"329",7
"330",6
"331",4
"332",5
"333",9
"334",7
"335",1
"336",7
"337",1
"338",4
"339",4
"340",9
"341",4
"342",5
"343",1
"344",4
"345",6
"346",8
"347",7
"348",6
"349",4
"350",5
"351",7
"352",4
"353",6
"354",2
"355",4
"356",9
"357",7
"358",5
"359",7
"360",4
"361",8
"362",8
"363",8
"364",6
"365",8
"366",6
"367",4
"368",4
"369",4
"370",9
"371",4
"372",4
"373",9
"374",3
"375",4
"376",4
"377",1
"378",6
"379",8
"380",4
"381",6
"382",7
"383",6
"384",9
"385",6
"386",6
"387",4
"388",6
"389",5
"390",4
"391",4
"392",6
"393",4
"394",8
"395",4
"396",7
"397",7
"398",5
"399",4
"400",4
"401",9
"402",7
"403",4
"404",4
"405",4
"406",7
"407",7
"408",8
"409",5
"410",6
"411",6
"412",7
"413",4
"414",8
"415",4
"416",9
"417",4
"418",7
"419",4
"420",5
"421",1
"422",8
"423",4
"424",4
"425",4
"426",4
"427",7
"428",5
"429",4
"430",5
"431",1
"432",8
"433",8
"434",8
"435",8
"436",5
"437",6
"438",4
"439",4
"440",6
"441",8
"442",6
"443",4
"444",7
"445",4
"446",8
"447",7
"448",4
"449",6
"450",7
"451",6
"452",4
"453",7
"454",6
"455",4
"456",8
"457",4
"458",5
"459",6
"460",4
"461",7
"462",8
"463",5
"464",8
"465",7
"466",5
"467",7
"468",7
"469",5
"470",8
"471",7
"472",7
"473",9
"474",7
"475",7
"476",4
"477",7
"478",8
"479",6
"480",4
"481",6
"482",6
"483",7
"484",7
"485",7
"486",6
"487",6
"488",7
"489",7
"490",9
"491",7
"492",6
