"","x"
"1",6
"2",3
"3",7
"4",8
"5",5
"6",7
"7",3
"8",8
"9",5
"10",3
"11",3
"12",5
"13",8
"14",6
"15",3
"16",7
"17",7
"18",5
"19",3
"20",7
"21",3
"22",5
"23",7
"24",6
"25",5
"26",3
"27",7
"28",7
"29",7
"30",5
"31",7
"32",5
"33",1
"34",8
"35",3
"36",6
"37",3
"38",8
"39",8
"40",5
"41",5
"42",7
"43",6
"44",1
"45",7
"46",7
"47",7
"48",7
"49",3
"50",6
"51",2
"52",7
"53",7
"54",5
"55",8
"56",3
"57",3
"58",8
"59",8
"60",8
"61",1
"62",8
"63",6
"64",3
"65",8
"66",5
"67",8
"68",8
"69",3
"70",5
"71",7
"72",3
"73",5
"74",3
"75",8
"76",3
"77",3
"78",7
"79",3
"80",6
"81",3
"82",8
"83",7
"84",7
"85",2
"86",1
"87",1
"88",1
"89",8
"90",6
"91",7
"92",8
"93",6
"94",3
"95",3
"96",5
"97",7
"98",8
"99",5
"100",1
"101",5
"102",1
"103",3
"104",1
"105",3
"106",3
"107",7
"108",8
"109",3
"110",3
"111",3
"112",7
"113",8
"114",7
"115",5
"116",6
"117",3
"118",5
"119",3
"120",7
"121",5
"122",7
"123",3
"124",5
"125",3
"126",7
"127",5
"128",7
"129",7
"130",3
"131",3
"132",3
"133",3
"134",8
"135",8
"136",3
"137",8
"138",6
"139",3
"140",8
"141",7
"142",5
"143",5
"144",3
"145",7
"146",6
"147",5
"148",3
"149",8
"150",8
"151",3
"152",3
"153",3
"154",7
"155",3
"156",7
"157",3
"158",7
"159",5
"160",7
"161",5
"162",8
"163",6
"164",3
"165",7
"166",5
"167",6
"168",3
"169",7
"170",8
"171",6
"172",7
"173",7
"174",5
"175",3
"176",8
"177",1
"178",7
"179",8
"180",8
"181",8
"182",5
"183",6
"184",2
"185",5
"186",6
"187",5
"188",8
"189",8
"190",7
"191",1
"192",6
"193",5
"194",3
"195",3
"196",8
"197",8
"198",3
"199",8
"200",8
"201",7
"202",8
"203",7
"204",6
"205",6
"206",3
"207",5
"208",3
"209",3
"210",5
"211",7
"212",5
"213",3
"214",7
"215",5
"216",8
"217",8
"218",3
"219",3
"220",6
"221",1
"222",5
"223",2
"224",8
"225",7
"226",2
"227",3
"228",3
"229",8
"230",5
"231",3
"232",5
"233",3
"234",8
"235",8
"236",5
"237",5
"238",7
"239",8
"240",2
"241",3
"242",8
"243",6
"244",5
"245",8
"246",1
"247",5
"248",5
"249",6
"250",7
"251",7
"252",8
"253",6
"254",6
"255",7
"256",3
"257",3
"258",8
"259",5
"260",8
"261",8
"262",3
"263",8
"264",6
"265",3
"266",8
"267",5
"268",8
"269",1
"270",5
"271",5
"272",7
"273",1
"274",8
"275",5
"276",5
"277",3
"278",5
"279",7
"280",1
"281",3
"282",5
"283",8
"284",8
"285",5
"286",3
"287",5
"288",9
"289",7
"290",5
"291",5
"292",8
"293",3
"294",1
"295",1
"296",8
"297",3
"298",9
"299",8
"300",3
"301",1
"302",5
"303",7
"304",5
"305",5
"306",3
"307",5
"308",5
"309",6
"310",5
"311",7
"312",7
"313",8
"314",1
"315",5
"316",7
"317",8
"318",6
"319",5
"320",3
"321",8
"322",3
"323",5
"324",6
"325",7
"326",8
"327",7
"328",5
"329",3
"330",3
"331",3
"332",8
"333",7
"334",5
"335",5
"336",8
"337",8
"338",3
"339",3
"340",6
"341",8
"342",3
"343",3
"344",7
"345",8
"346",7
"347",8
"348",1
"349",6
"350",5
"351",7
"352",7
"353",6
"354",7
"355",1
"356",8
"357",9
"358",3
"359",5
"360",7
"361",6
"362",8
"363",8
"364",6
"365",6
"366",3
"367",7
"368",7
"369",8
"370",6
"371",5
"372",3
"373",8
"374",5
"375",7
"376",7
"377",6
"378",3
"379",3
"380",7
"381",3
"382",7
"383",3
"384",5
"385",5
"386",5
"387",3
"388",8
"389",8
"390",3
"391",5
"392",8
"393",3
"394",3
"395",3
"396",7
"397",4
"398",7
"399",8
"400",7
"401",7
"402",5
"403",8
"404",6
"405",3
"406",7
"407",3
"408",3
"409",7
"410",8
"411",6
"412",3
"413",8
"414",5
"415",8
"416",5
"417",5
"418",3
"419",8
"420",3
"421",3
"422",7
"423",8
"424",8
"425",3
"426",5
"427",8
"428",7
"429",3
"430",8
"431",6
"432",7
"433",8
"434",7
"435",8
"436",8
"437",3
"438",8
"439",3
"440",5
"441",3
"442",6
"443",3
"444",6
"445",3
"446",8
"447",8
"448",8
"449",3
"450",3
"451",8
"452",5
"453",1
"454",5
"455",5
"456",7
"457",7
"458",5
"459",7
"460",6
"461",6
"462",5
"463",3
"464",3
"465",8
"466",8
"467",8
"468",1
"469",8
"470",5
"471",8
"472",1
"473",5
"474",8
"475",5
"476",5
"477",5
"478",6
"479",4
"480",1
"481",6
"482",3
"483",8
"484",5
"485",8
"486",5
"487",6
"488",8
"489",6
"490",8
"491",3
"492",8
"493",6
"494",6
"495",3
"496",8
"497",3
"498",3
"499",7
"500",8
"501",8
"502",1
"503",6
"504",1
"505",8
"506",5
"507",3
"508",6
"509",8
"510",6
"511",5
"512",3
"513",2
"514",8
"515",3
"516",3
"517",7
"518",5
"519",3
"520",5
"521",7
"522",5
"523",8
"524",6
"525",6
"526",7
"527",3
"528",8
"529",5
"530",3
"531",3
"532",3
"533",3
"534",7
"535",3
"536",3
"537",7
"538",3
"539",8
"540",3
"541",8
"542",5
"543",3
"544",8
"545",3
"546",8
"547",3
"548",3
"549",3
"550",8
"551",5
"552",7
"553",3
"554",3
"555",3
"556",3
"557",3
"558",8
"559",7
"560",1
"561",8
"562",5
"563",7
"564",8
"565",7
"566",1
"567",8
"568",6
"569",3
"570",6
"571",3
"572",7
"573",7
"574",5
"575",6
"576",6
"577",3
"578",3
"579",3
"580",5
"581",5
"582",7
"583",3
"584",6
"585",8
"586",8
"587",1
"588",6
"589",8
"590",7
"591",7
"592",6
"593",5
"594",3
"595",3
"596",3
"597",1
"598",3
"599",6
"600",6
"601",8
"602",6
"603",7
"604",5
"605",6
"606",1
"607",7
"608",8
"609",9
"610",8
"611",8
"612",8
"613",5
"614",3
"615",7
"616",5
"617",3
"618",6
"619",2
"620",8
"621",5
"622",5
"623",8
"624",8
"625",7
"626",5
"627",7
"628",3
"629",3
"630",8
"631",5
"632",3
"633",7
"634",8
"635",5
"636",7
"637",8
"638",8
"639",8
"640",5
"641",8
"642",8
"643",3
"644",7
"645",7
"646",3
"647",7
"648",1
"649",7
"650",3
"651",7
"652",3
"653",5
"654",3
"655",7
"656",3
"657",2
"658",6
"659",6
"660",3
"661",5
"662",3
"663",7
"664",3
"665",7
"666",3
"667",3
"668",8
"669",3
"670",8
"671",3
"672",3
"673",5
"674",3
"675",3
"676",8
"677",1
"678",5
"679",5
"680",7
"681",8
"682",3
"683",3
"684",2
"685",3
"686",8
"687",5
"688",1
"689",6
"690",7
"691",8
"692",6
"693",5
"694",7
"695",5
"696",7
"697",6
"698",7
"699",3
"700",8
"701",8
"702",5
"703",3
"704",8
"705",6
"706",5
"707",3
"708",5
"709",7
"710",3
"711",3
"712",5
"713",8
"714",6
"715",5
"716",7
"717",7
"718",1
"719",8
"720",6
"721",2
"722",5
"723",8
"724",3
"725",8
"726",7
"727",3
"728",7
"729",5
"730",7
"731",5
"732",8
"733",3
"734",7
"735",3
"736",8
"737",5
"738",1
"739",3
"740",6
"741",1
"742",3
"743",7
"744",3
"745",8
"746",3
"747",8
"748",5
"749",7
"750",5
"751",8
"752",6
"753",3
"754",3
"755",3
"756",3
"757",5
"758",7
"759",5
"760",6
"761",3
"762",3
"763",5
"764",7
"765",8
"766",3
"767",8
"768",5
"769",3
"770",5
"771",5
"772",7
"773",6
"774",3
"775",3
"776",5
"777",8
"778",3
"779",6
"780",6
"781",8
"782",7
"783",3
"784",8
"785",8
"786",7
"787",5
"788",8
"789",3
"790",3
"791",6
"792",3
"793",5
"794",3
"795",8
"796",5
"797",8
"798",5
"799",3
"800",4
"801",1
"802",7
"803",6
"804",7
"805",8
"806",5
"807",7
"808",7
"809",3
"810",5
"811",7
"812",5
"813",8
"814",3
"815",7
"816",3
"817",5
"818",3
"819",6
"820",8
"821",7
"822",8
"823",7
"824",8
"825",6
"826",8
"827",3
"828",3
"829",7
"830",5
"831",7
"832",3
