"","x"
"1",7
"2",2
"3",2
"4",4
"5",5
"6",8
"7",2
"8",1
"9",4
"10",4
"11",8
"12",2
"13",6
"14",3
"15",3
"16",5
"17",6
"18",5
"19",8
"20",2
"21",2
"22",2
"23",5
"24",7
"25",7
"26",2
"27",3
"28",6
"29",7
"30",5
"31",2
"32",1
"33",6
"34",3
"35",6
"36",5
"37",3
"38",6
"39",4
"40",8
"41",7
"42",5
"43",3
"44",7
"45",4
"46",1
"47",4
"48",8
"49",2
"50",6
"51",2
"52",3
"53",2
"54",7
"55",7
"56",4
"57",7
"58",1
"59",2
"60",8
"61",6
"62",3
"63",4
"64",1
"65",1
"66",8
"67",5
"68",7
"69",5
"70",8
"71",4
"72",8
"73",8
"74",1
"75",8
"76",1
"77",5
"78",2
"79",5
"80",3
"81",5
"82",2
"83",3
"84",7
"85",4
"86",2
"87",7
"88",1
"89",3
"90",2
"91",5
"92",8
"93",2
"94",2
"95",4
"96",2
"97",4
"98",8
"99",2
"100",8
"101",5
"102",1
"103",3
"104",2
"105",8
"106",1
"107",2
"108",2
"109",4
"110",4
"111",3
"112",2
"113",6
"114",3
"115",2
"116",4
"117",5
"118",1
"119",8
"120",3
"121",6
"122",5
"123",2
"124",7
"125",1
"126",1
"127",5
"128",2
"129",7
"130",6
"131",1
"132",3
"133",4
"134",8
"135",2
"136",5
"137",8
"138",5
"139",6
"140",7
"141",2
"142",2
"143",6
"144",5
"145",3
"146",6
"147",4
"148",7
"149",7
"150",4
"151",2
"152",4
"153",8
"154",3
"155",1
"156",4
"157",3
"158",3
"159",3
"160",6
"161",2
"162",8
"163",2
"164",2
"165",7
"166",2
"167",2
"168",6
"169",7
"170",5
"171",7
"172",3
"173",2
"174",7
"175",8
"176",8
"177",6
"178",7
"179",6
"180",8
"181",5
"182",2
"183",7
"184",2
"185",6
"186",5
"187",4
"188",8
"189",7
"190",1
"191",5
"192",5
"193",8
"194",5
"195",5
"196",3
"197",6
"198",6
"199",5
"200",2
"201",8
"202",3
"203",3
"204",6
"205",3
"206",8
"207",8
"208",2
"209",8
"210",7
"211",6
"212",4
"213",7
"214",2
"215",8
"216",4
"217",8
"218",4
"219",4
"220",7
"221",7
"222",8
"223",7
"224",4
"225",3
"226",5
"227",4
"228",8
"229",1
"230",3
"231",8
"232",8
"233",7
"234",8
"235",5
"236",7
"237",6
"238",2
"239",3
"240",4
"241",1
"242",1
"243",7
"244",4
"245",6
"246",2
"247",2
"248",6
"249",7
"250",7
"251",3
"252",3
"253",2
"254",2
"255",5
"256",2
"257",7
"258",4
"259",2
"260",6
"261",2
"262",8
"263",7
"264",7
"265",3
"266",8
"267",3
"268",3
"269",8
"270",3
"271",7
"272",2
"273",2
"274",8
"275",5
"276",2
"277",6
"278",2
"279",4
"280",4
"281",6
"282",2
"283",4
"284",7
"285",6
"286",1
"287",8
"288",2
"289",6
"290",6
"291",2
"292",2
"293",5
"294",2
"295",6
"296",3
"297",5
"298",7
"299",2
"300",5
"301",2
"302",1
"303",7
"304",8
"305",4
"306",7
"307",6
"308",2
"309",7
"310",7
"311",7
"312",1
"313",7
"314",3
"315",8
"316",7
"317",6
"318",2
"319",3
"320",2
"321",2
"322",1
"323",6
"324",3
"325",8
"326",7
"327",8
"328",7
"329",2
"330",1
"331",1
"332",5
"333",2
"334",7
"335",4
"336",8
"337",3
"338",3
"339",2
"340",5
"341",2
"342",8
"343",3
"344",3
"345",2
"346",6
"347",4
"348",1
"349",8
"350",8
"351",8
"352",3
"353",7
"354",3
"355",8
"356",2
"357",6
"358",5
"359",4
"360",5
"361",3
"362",4
"363",7
"364",3
"365",8
"366",5
"367",6
"368",3
"369",6
"370",4
"371",8
"372",6
"373",1
"374",4
"375",8
"376",6
"377",1
"378",5
"379",3
"380",4
"381",8
"382",6
"383",4
"384",2
"385",6
"386",1
"387",5
"388",6
"389",4
"390",1
"391",7
"392",3
"393",7
"394",7
"395",1
"396",2
"397",2
"398",8
"399",5
"400",5
"401",1
"402",3
"403",2
"404",8
"405",5
"406",4
"407",3
"408",6
"409",8
"410",7
"411",2
"412",2
"413",7
"414",6
"415",3
"416",1
"417",5
"418",4
"419",5
"420",1
"421",2
"422",2
"423",3
"424",5
"425",7
"426",7
"427",3
"428",3
"429",3
"430",7
"431",2
"432",3
"433",3
"434",5
"435",8
"436",4
"437",1
"438",6
"439",2
"440",3
"441",8
"442",3
"443",7
"444",3
"445",1
"446",2
"447",3
"448",4
"449",3
"450",2
"451",2
"452",4
"453",8
"454",1
"455",7
"456",8
"457",5
"458",4
"459",8
"460",5
"461",5
"462",5
"463",7
"464",6
"465",3
"466",5
"467",5
"468",3
"469",8
"470",4
"471",4
"472",2
"473",7
"474",4
"475",6
"476",7
"477",2
"478",6
"479",8
"480",3
"481",6
"482",2
"483",3
"484",2
"485",2
"486",6
"487",8
"488",6
"489",3
"490",6
"491",3
"492",8
"493",2
"494",7
"495",4
"496",2
"497",8
"498",5
"499",7
"500",6
"501",3
"502",5
"503",3
"504",5
"505",1
"506",5
"507",4
"508",7
"509",6
"510",2
"511",2
"512",8
"513",6
"514",8
"515",3
"516",8
"517",2
"518",5
"519",5
"520",8
"521",2
"522",6
"523",3
"524",8
"525",8
"526",4
"527",7
"528",3
"529",5
"530",3
"531",8
"532",2
"533",5
"534",3
"535",3
"536",3
"537",7
"538",7
"539",8
"540",2
"541",2
"542",2
"543",8
"544",3
"545",5
"546",2
"547",6
"548",5
"549",4
"550",1
"551",7
"552",4
"553",7
"554",2
"555",2
"556",8
"557",8
"558",4
"559",8
"560",2
"561",7
"562",5
"563",1
"564",6
"565",2
"566",8
"567",7
"568",3
"569",5
"570",2
"571",7
"572",5
"573",7
"574",3
"575",7
"576",8
"577",3
"578",6
"579",4
"580",5
"581",6
"582",7
"583",3
"584",2
"585",2
"586",6
"587",8
"588",4
"589",2
"590",3
"591",6
"592",5
"593",3
"594",1
"595",3
"596",4
"597",3
"598",3
"599",5
"600",7
"601",6
"602",8
"603",5
"604",2
"605",1
"606",7
"607",8
"608",4
"609",8
"610",7
"611",2
"612",6
"613",4
"614",4
"615",5
"616",5
"617",4
"618",1
"619",6
"620",6
"621",4
"622",4
"623",7
"624",7
"625",2
"626",5
"627",1
"628",6
"629",4
"630",5
"631",2
"632",2
"633",2
"634",8
"635",8
"636",7
"637",3
"638",8
"639",2
"640",2
"641",3
"642",3
"643",2
"644",6
"645",3
"646",8
"647",3
"648",8
"649",1
"650",1
"651",7
"652",2
"653",7
"654",2
"655",1
"656",3
"657",2
"658",1
"659",7
"660",2
"661",4
"662",1
"663",5
"664",5
"665",3
"666",7
"667",3
"668",2
"669",2
"670",6
"671",3
"672",6
"673",3
"674",7
"675",8
"676",8
"677",4
"678",6
"679",5
"680",2
"681",5
"682",3
"683",6
"684",4
"685",5
"686",7
"687",2
"688",2
"689",3
"690",7
"691",2
"692",3
"693",6
"694",5
"695",7
"696",2
"697",2
"698",2
"699",7
"700",1
"701",5
"702",2
"703",4
"704",6
"705",4
"706",5
"707",5
"708",1
"709",3
"710",2
"711",8
"712",6
"713",4
"714",7
"715",5
"716",1
"717",2
"718",5
"719",5
"720",6
"721",4
"722",6
"723",2
"724",8
"725",1
"726",8
"727",6
"728",1
"729",5
"730",3
"731",6
"732",7
"733",4
"734",3
"735",1
"736",7
"737",1
"738",4
"739",1
"740",2
"741",4
"742",1
"743",5
"744",4
"745",4
"746",2
"747",3
"748",5
"749",8
"750",5
"751",5
"752",7
"753",6
"754",7
"755",4
"756",2
"757",5
"758",7
"759",8
"760",6
"761",3
"762",5
"763",6
"764",3
"765",4
"766",5
"767",3
"768",4
"769",2
"770",3
"771",7
"772",6
"773",3
"774",7
"775",8
"776",8
"777",5
"778",2
"779",4
"780",1
"781",8
"782",5
"783",3
"784",2
"785",6
"786",5
"787",3
"788",6
"789",7
"790",8
"791",8
"792",2
"793",2
"794",5
"795",5
"796",7
"797",5
"798",2
"799",4
"800",1
"801",4
"802",5
"803",2
"804",7
"805",2
"806",6
"807",3
"808",8
"809",2
"810",6
"811",7
"812",2
"813",4
"814",8
"815",7
"816",5
"817",8
"818",1
"819",8
"820",6
"821",5
"822",8
"823",2
"824",2
"825",4
"826",6
"827",3
"828",8
"829",5
"830",1
"831",6
"832",2
"833",7
"834",4
"835",3
"836",2
"837",1
"838",6
"839",8
"840",2
"841",7
"842",4
"843",5
"844",8
"845",4
"846",2
"847",3
"848",2
"849",8
"850",1
"851",5
"852",2
"853",8
"854",7
"855",6
"856",7
"857",2
"858",3
"859",2
"860",4
"861",1
"862",3
"863",5
"864",1
"865",5
"866",3
"867",7
"868",5
"869",4
"870",5
"871",7
"872",7
"873",4
"874",2
"875",8
"876",7
"877",6
"878",3
"879",4
"880",5
"881",3
"882",3
"883",5
"884",2
"885",1
"886",7
"887",5
"888",8
"889",8
"890",6
"891",7
"892",8
"893",8
"894",5
"895",8
"896",2
"897",7
"898",2
"899",3
"900",6
"901",4
"902",6
"903",8
"904",3
"905",8
"906",8
"907",3
"908",5
"909",3
"910",7
"911",2
"912",6
"913",3
"914",5
"915",3
"916",8
"917",6
"918",8
"919",2
"920",8
"921",3
"922",5
"923",1
"924",5
"925",2
"926",7
"927",6
"928",7
"929",2
"930",4
"931",3
"932",2
"933",8
"934",6
"935",5
"936",2
"937",1
"938",1
"939",2
"940",5
"941",5
"942",5
"943",2
"944",4
"945",2
"946",2
"947",2
"948",1
"949",3
"950",1
"951",8
"952",7
"953",2
"954",2
"955",1
"956",7
"957",2
"958",8
"959",7
"960",3
"961",8
"962",3
"963",4
"964",8
"965",6
"966",7
"967",6
"968",1
"969",7
"970",5
"971",5
"972",1
"973",1
"974",2
"975",3
"976",5
"977",2
"978",2
"979",8
"980",5
"981",4
"982",7
"983",3
"984",8
"985",2
"986",1
"987",7
"988",5
"989",7
"990",2
"991",1
"992",1
"993",7
"994",2
"995",3
"996",5
"997",5
"998",4
"999",5
"1000",3
"1001",7
"1002",8
"1003",4
"1004",5
"1005",5
"1006",8
"1007",5
"1008",1
"1009",8
"1010",7
"1011",5
"1012",6
"1013",7
"1014",5
"1015",8
"1016",7
"1017",8
"1018",6
"1019",8
"1020",5
"1021",6
"1022",1
"1023",6
"1024",3
"1025",8
"1026",7
"1027",2
"1028",8
"1029",1
"1030",8
"1031",2
"1032",8
"1033",2
"1034",5
"1035",1
"1036",2
"1037",1
"1038",6
"1039",8
"1040",4
"1041",7
"1042",6
"1043",8
"1044",8
"1045",5
"1046",7
"1047",6
"1048",4
"1049",2
"1050",1
"1051",2
"1052",8
"1053",3
"1054",6
"1055",6
"1056",8
"1057",6
"1058",1
"1059",8
"1060",7
"1061",5
"1062",2
"1063",4
"1064",3
"1065",5
"1066",5
"1067",8
"1068",5
"1069",4
"1070",2
"1071",3
"1072",1
"1073",5
"1074",5
"1075",8
"1076",2
"1077",5
"1078",2
"1079",6
"1080",8
"1081",1
"1082",3
"1083",2
"1084",1
"1085",2
"1086",3
"1087",3
"1088",2
"1089",6
"1090",8
"1091",7
"1092",6
"1093",8
"1094",2
"1095",6
"1096",7
"1097",5
"1098",3
"1099",8
"1100",2
"1101",5
"1102",5
"1103",7
"1104",8
"1105",2
"1106",3
"1107",2
"1108",7
"1109",8
"1110",4
"1111",3
"1112",2
"1113",7
"1114",7
"1115",8
"1116",2
"1117",6
"1118",7
"1119",4
"1120",2
"1121",6
"1122",1
"1123",2
"1124",2
"1125",5
"1126",8
"1127",8
"1128",6
"1129",6
"1130",2
"1131",7
"1132",5
"1133",6
"1134",8
"1135",3
"1136",2
"1137",2
"1138",2
"1139",8
"1140",2
"1141",6
"1142",6
"1143",3
"1144",2
"1145",2
"1146",8
"1147",5
"1148",7
"1149",4
"1150",6
