"","x"
"1",5
"2",7
"3",4
"4",4
"5",8
"6",5
"7",4
"8",2
"9",7
"10",5
"11",4
"12",4
"13",5
"14",8
"15",1
"16",3
"17",3
"18",7
"19",5
"20",3
"21",4
"22",7
"23",7
"24",7
"25",3
"26",7
"27",5
"28",7
"29",3
"30",7
"31",2
"32",6
"33",5
"34",8
"35",7
"36",7
"37",2
"38",4
"39",6
"40",7
"41",7
"42",7
"43",3
"44",5
"45",2
"46",3
"47",3
"48",2
"49",3
"50",4
"51",8
"52",6
"53",5
"54",6
"55",2
"56",7
"57",7
"58",7
"59",7
"60",2
"61",7
"62",8
"63",2
"64",3
"65",5
"66",7
"67",7
"68",8
"69",3
"70",4
"71",7
"72",6
"73",3
"74",8
"75",1
"76",5
"77",5
"78",5
"79",7
"80",7
"81",8
"82",7
"83",1
"84",4
"85",7
"86",2
"87",8
"88",8
"89",7
"90",1
"91",7
"92",7
"93",5
"94",7
"95",2
"96",1
"97",6
"98",2
"99",4
"100",2
"101",2
"102",3
"103",6
"104",7
"105",7
"106",2
"107",5
"108",7
"109",7
"110",4
"111",7
"112",3
"113",7
"114",7
"115",7
"116",8
"117",4
"118",6
"119",6
"120",6
"121",8
"122",5
"123",5
"124",8
"125",4
"126",6
"127",8
"128",7
"129",8
"130",2
"131",4
"132",8
"133",7
"134",7
"135",2
"136",7
"137",7
"138",1
"139",6
"140",6
"141",2
"142",4
"143",8
"144",8
"145",3
"146",1
"147",4
"148",1
"149",4
"150",6
"151",8
"152",8
"153",7
"154",6
"155",7
"156",3
"157",5
"158",2
"159",7
"160",8
"161",1
"162",8
"163",7
"164",7
"165",2
"166",6
"167",3
"168",8
"169",1
"170",8
"171",2
"172",6
"173",3
"174",7
"175",8
"176",6
"177",2
"178",1
"179",2
"180",3
"181",7
"182",7
"183",3
"184",7
"185",8
"186",5
"187",3
"188",3
"189",7
"190",7
"191",7
"192",4
"193",1
"194",6
"195",1
"196",5
"197",7
"198",1
"199",3
"200",6
"201",2
"202",3
"203",1
"204",6
"205",6
"206",3
"207",7
"208",7
"209",8
"210",1
"211",2
"212",1
"213",1
"214",7
"215",4
"216",2
"217",5
"218",6
"219",5
"220",3
"221",3
"222",3
"223",7
"224",2
"225",7
"226",8
"227",7
"228",8
"229",1
"230",5
"231",7
"232",6
"233",2
"234",8
"235",3
"236",4
"237",3
"238",8
"239",7
"240",7
"241",8
"242",5
"243",7
"244",7
"245",7
"246",5
"247",6
"248",8
"249",7
"250",8
"251",7
"252",6
"253",8
"254",2
"255",6
"256",4
"257",4
"258",3
"259",7
"260",2
"261",6
"262",1
"263",1
"264",7
"265",7
"266",3
"267",1
"268",7
"269",3
"270",6
"271",3
"272",6
"273",1
"274",5
"275",4
"276",4
"277",8
"278",7
"279",7
"280",3
"281",2
"282",1
"283",8
"284",2
"285",7
"286",4
"287",5
"288",2
"289",4
"290",1
"291",7
"292",6
"293",6
"294",7
"295",7
"296",4
"297",4
"298",6
"299",8
"300",2
"301",4
"302",4
"303",1
"304",8
"305",7
"306",5
"307",5
"308",5
"309",3
"310",5
"311",4
"312",8
"313",4
"314",7
"315",5
"316",7
"317",4
"318",8
"319",8
"320",1
"321",2
"322",7
"323",1
"324",7
"325",4
"326",7
"327",4
"328",7
"329",6
"330",2
"331",5
"332",4
"333",8
"334",1
"335",4
"336",4
"337",4
"338",5
"339",6
"340",6
"341",7
"342",1
"343",3
"344",2
"345",7
"346",6
"347",8
"348",7
"349",7
"350",5
"351",3
"352",7
"353",5
"354",8
"355",1
"356",8
"357",6
"358",3
"359",3
"360",2
"361",3
"362",5
"363",8
"364",7
"365",3
"366",3
"367",4
"368",2
"369",1
"370",2
"371",1
"372",2
"373",5
"374",7
"375",5
"376",7
"377",1
"378",4
"379",3
"380",4
"381",8
"382",3
"383",3
"384",6
"385",2
"386",4
"387",5
"388",1
"389",2
"390",7
"391",5
"392",8
"393",6
"394",6
"395",6
"396",3
"397",6
"398",7
"399",7
"400",7
"401",7
"402",1
"403",2
"404",7
"405",7
"406",2
"407",4
"408",5
"409",8
"410",7
"411",7
"412",7
"413",7
"414",4
"415",8
"416",5
"417",3
"418",4
"419",6
"420",4
"421",7
"422",5
"423",3
"424",6
"425",5
"426",7
"427",4
"428",7
"429",7
"430",7
"431",8
"432",5
"433",6
"434",2
"435",5
"436",7
"437",8
"438",7
"439",8
"440",3
"441",4
"442",7
"443",6
"444",3
"445",1
"446",4
"447",6
"448",6
"449",2
"450",8
"451",3
"452",6
"453",7
"454",8
"455",7
"456",8
"457",7
"458",6
"459",7
"460",2
"461",1
"462",6
"463",7
"464",7
"465",4
"466",3
"467",7
"468",6
"469",7
"470",2
"471",2
"472",5
"473",4
"474",8
"475",2
"476",3
"477",7
"478",5
"479",3
"480",3
"481",4
"482",7
"483",5
"484",7
"485",4
"486",6
"487",3
"488",2
"489",2
"490",4
"491",6
"492",7
"493",8
"494",3
"495",3
"496",8
"497",6
"498",2
"499",7
"500",3
"501",8
"502",5
"503",5
"504",7
"505",3
"506",2
"507",2
"508",6
"509",1
"510",7
"511",6
"512",7
"513",3
"514",1
"515",7
"516",4
"517",4
"518",5
"519",3
"520",3
"521",5
"522",3
"523",4
"524",5
"525",4
"526",5
"527",6
"528",7
"529",8
"530",8
"531",1
"532",4
"533",4
"534",4
"535",7
"536",5
"537",1
"538",7
"539",3
"540",7
"541",7
"542",5
"543",3
